type,model,variable,bias,loa_upper,loa_lower,bias_ci_lower,bias_ci_upper,loa_upper_ci_lower,loa_upper_ci_upper,loa_lower_ci_lower,loa_lower_ci_upper
raw,biLSTM,diff_spt,-36.708333333333336,68.02814052414175,-141.44480719080843,-42.63185568195212,-30.292796374451576,54.52920929933649,85.5329425316426,-153.19534013496565,-131.9761777967858
raw,biLSTM,diff_tst,38.987847222222214,138.03993111418333,-60.06423666973892,33.317708333333336,44.937259732788675,126.04792749214516,152.00336062280087,-72.85521808341757,-51.12675036636547
raw,biLSTM,diff_se,12.56293344749485,25.171291814776048,-0.04542491978635077,11.840105486770145,13.326898092827374,23.627673758209628,27.232886998160172,-1.5701267768673726,1.1265060802060565
raw,biLSTM,diff_lps,-17.57465277777778,92.07743716226011,-127.22674271781565,-24.136386440006124,-11.318177846592135,63.43784044362324,143.77601443197628,-177.4327271459886,-97.43413972895387
raw,biLSTM,diff_waso,-15.90625,84.31846673754909,-116.13096673754909,-21.034187838968172,-8.907800453032618,58.88151255941842,138.22513536344866,-158.946378835775,-95.38329709696727
raw,decision_tree,diff_spt,-21.64051724137931,74.19618634192686,-117.47722082468547,-25.616602410382857,-17.627745917369424,63.94027044292813,85.88419883199988,-125.56939761781634,-110.6676568612924
raw,decision_tree,diff_tst,-148.0103448275862,-13.058820773638049,-282.9618688815344,-153.7825700049984,-142.4492371358978,-22.80537640827256,-0.9534939839461036,-295.544785695166,-272.6460624419687
raw,decision_tree,diff_se,-22.741335232029066,0.01217669930429821,-45.49484716336243,-23.703233467958217,-21.77612871959195,-1.6249508176484306,1.933264602362776,-47.54849806827902,-43.76961761846777
raw,decision_tree,diff_lps,28.854310344827585,133.75624263959963,-76.04762194994446,24.516379310344828,33.2264993244404,124.57898444433329,144.7362421841955,-87.61723044009901,-69.81102605209533
raw,decision_tree,diff_waso,46.109482758620686,125.4332756008822,-33.214310083640825,42.95124203815567,49.43500847228098,117.73818915238446,138.8029860081145,-43.39732155446861,-26.21690583335644
raw,logistic_regression,diff_spt,-4.013793103448277,105.46937561346397,-113.49696182036053,-8.288934154873738,0.733289504915334,94.97878456480731,118.74481070139556,-122.71807692029512,-106.08573416120336
raw,logistic_regression,diff_tst,-139.22758620689655,13.123240565956053,-291.57841297974915,-145.72503874074934,-132.83539963351268,3.8489679693500807,23.529201654034413,-306.12463517256646,-279.2325594510844
raw,logistic_regression,diff_se,-23.10315337731034,-0.5578888625757727,-45.648417892044904,-24.038848229740186,-22.14949962026984,-2.0027637377047447,1.0427511273687515,-47.44930696286681,-44.03795005690457
raw,logistic_regression,diff_lps,47.50948275862069,141.19331630961003,-46.174350792368685,43.61840766003942,51.42237590971488,131.02636510306544,154.51525883423986,-56.95151641953384,-38.60274031871956
raw,logistic_regression,diff_waso,48.73534482758621,132.1297717676166,-34.65908211244418,45.338793103448275,52.08416078495624,124.62884063659784,147.329948977217,-46.24641256684202,-27.95637297383745
