model,type,correlation,estimate,lower.ci,upper.ci
biLSTM,median10,spt,0.3018906312023933,0.192850458497479,0.40356564006125123
biLSTM,median10,tst,0.3970245267295084,0.2947947004638789,0.49026882574454145
biLSTM,median10,se,0.15810385286380665,0.043112130154833034,0.26896131419929936
biLSTM,median10,lps,0.06294720125572076,-0.05322158999304004,0.17743494825404432
biLSTM,median10,waso,0.12209217393196196,0.006401761034744597,0.23455739189639493
biLSTM,median5,spt,0.5416041168775997,0.45447398988669363,0.618468469736709
biLSTM,median5,tst,0.6297736411829193,0.5545600181938148,0.6947807547311162
biLSTM,median5,se,0.1566590994438645,0.04183720571033048,0.2673968815336409
biLSTM,median5,lps,0.09100616460392856,-0.02483447730322938,0.2044352466985526
biLSTM,median5,waso,0.016320739442505897,-0.0994462721508819,0.1316518210818845
biLSTM,raw,spt,0.49722779334273515,0.40491877004107213,0.579503551311402
biLSTM,raw,tst,0.5307223640920172,0.4422721757125173,0.6089485276924431
biLSTM,raw,se,0.06653125241340613,-0.04942825520786091,0.18072099430908595
biLSTM,raw,lps,0.05146638173307913,-0.06449669588774638,0.166058015111051
biLSTM,raw,waso,0.04407475123582938,-0.07187079016964228,0.1588449954510399
decision_tree,median10,spt,0.5428320923198416,0.4826988138803831,0.5978710509974337
decision_tree,median10,tst,0.5610427027526648,0.5025324026811326,0.6144371582182147
decision_tree,median10,se,0.2153498767073122,0.13625675257652126,0.29171508161503973
decision_tree,median10,lps,0.06262861696949536,-0.018952202542015645,0.14338101167927758
decision_tree,median10,waso,0.06534091841897333,-0.016229593869868143,0.14604742791441333
decision_tree,median5,spt,0.5403578432989538,0.4800632878257788,0.5955709209884609
decision_tree,median5,tst,0.4823856861876799,0.41736293993051404,0.542494173627973
decision_tree,median5,se,0.21696516600837643,0.13798882016229733,0.293199871150286
decision_tree,median5,lps,0.06159934681284037,-0.019914297969302126,0.14229948375474444
decision_tree,median5,waso,0.14573919491960358,0.06509781823626325,0.22448936257994048
decision_tree,raw,spt,0.5403578432989538,0.4800632878257788,0.5955709209884609
decision_tree,raw,tst,0.30042722152777457,0.2245045859869446,0.3727245575489681
decision_tree,raw,se,0.16553986321848377,0.08527536461866483,0.24366964644478573
decision_tree,raw,lps,0.1331830541539087,0.05233676441645256,0.21229492791307483
decision_tree,raw,waso,0.2931749841068581,0.21693922007125446,0.3658563229729288
logistic_regression,median10,spt,0.3679970148098839,0.29536984536972377,0.43639540503654906
logistic_regression,median10,tst,0.08875831324856322,0.007327204522191441,0.1690199964102366
logistic_regression,median10,se,0.12683541295163317,0.04582491470224341,0.20618854193331715
logistic_regression,median10,lps,0.020577874292987075,-0.06100852488495112,0.10189112828357469
logistic_regression,median10,waso,0.17067068007149938,0.09044438338844533,0.24869617742752428
logistic_regression,median5,spt,0.37528950194543753,0.3030734241206737,0.4432198831109547
logistic_regression,median5,tst,0.08951421994366614,0.008089119932098848,0.16976009416125407
logistic_regression,median5,se,0.1288458140637674,0.04786423322778358,0.2081446293810717
logistic_regression,median5,lps,0.05019409706967345,-0.031418507219873736,0.13114182619442097
logistic_regression,median5,waso,0.19242809260950858,0.11271128448705267,0.26968360143819636
logistic_regression,raw,spt,0.3660562764869451,0.2933859988746428,0.4345204616061995
logistic_regression,raw,tst,0.11813026259345828,0.0370730360657413,0.1976432165719395
logistic_regression,raw,se,0.18239542639578757,0.1025037824381403,0.25994908631347163
logistic_regression,raw,lps,0.09534664495474514,0.014041871531455767,0.17539887973018717
logistic_regression,raw,waso,0.2510604190835667,0.17318653931089031,0.32581461514612997
neural_network,median10,spt,0.3777297591567647,0.30565335265190374,0.4455017752305574
neural_network,median10,tst,0.2910385645897054,0.2146447667435887,0.3638929396184496
neural_network,median10,se,0.25130940757719294,0.1733756437675241,0.32611540902943115
neural_network,median10,lps,0.051777332338067514,-0.029832634361839642,0.132701562478725
neural_network,median10,waso,0.22015393330104302,0.1412028761901618,0.29632229607401156
neural_network,median5,spt,0.3757783810461504,0.3036544712106895,0.4436202429842684
neural_network,median5,tst,0.24662210894998007,0.1685934275224529,0.32157907769811905
neural_network,median5,se,0.21218848790026376,0.13307356864968675,0.28861639463260846
neural_network,median5,lps,0.06836929375408085,-0.013117494749341607,0.1489539597673005
neural_network,median5,waso,0.21467401268830072,0.135630713973257,0.29100182500293964
neural_network,raw,spt,0.3757783810461504,0.3036544712106895,0.4436202429842684
neural_network,raw,tst,0.24734917415608582,0.16934561966682127,0.32227313104523597
neural_network,raw,se,0.2327028972475967,0.15421067877119574,0.3082763083150687
neural_network,raw,lps,0.11286162950887657,0.031739493691843014,0.19250655856762144
neural_network,raw,waso,0.33201124019579425,0.25755937028526443,0.40254413028314817
xgboost,median10,spt,0.5575252219186833,0.49869662959876715,0.6112409868850732
xgboost,median10,tst,0.6718151755649062,0.6245186326479266,0.7142022357021571
xgboost,median10,se,0.43063794653792414,0.36185125820166497,0.49476081893874163
xgboost,median10,lps,0.09747122746934414,0.016115117522918967,0.17754520230451526
xgboost,median10,waso,0.20485378251312575,0.12546396606049742,0.2816367124924388
xgboost,median5,spt,0.5600708026578032,0.5015253182902836,0.6135100650349555
xgboost,median5,tst,0.6577913378291685,0.6089910280974898,0.7016305004028563
xgboost,median5,se,0.44308433869440994,0.37520541276798425,0.5062365561516197
xgboost,median5,lps,0.12245235852733377,0.041451830746216375,0.2018537896754135
xgboost,median5,waso,0.2555634876681666,0.17785013265834138,0.33010888793985865
xgboost,raw,spt,0.5600708026578032,0.5015253182902836,0.6135100650349555
xgboost,raw,tst,0.46819669006516135,0.40211042441074424,0.5294298376825999
xgboost,raw,se,0.3670368103641431,0.29442087754308066,0.43543886458365005
xgboost,raw,lps,0.20324222704730183,0.12387823117059175,0.2800225471607156
xgboost,raw,waso,0.35785708440702507,0.2847390388490796,0.4268352291136886
